Time(ms),CO2(ppm)
67,833.75
1083,864.38
2093,879.22
3104,878.28
4116,874.53
5126,861.72
6137,856.25
7149,856.25
8159,846.41
9170,844.06
10182,845.78
11192,838.75
12204,843.75
13215,842.34
14225,836.25
15237,835.16
16248,825.47
17258,821.56
18270,821.25
19281,833.59
20291,838.44
21303,839.84
22315,815.31
23324,807.19
24336,799.06
25348,798.59
26357,798.28
27369,795.94
28381,810.31
29392,817.81
30402,810.31
31414,808.28
32425,800.94
33435,790.94
34447,776.88
35459,781.09
36468,783.44
37480,787.19
38492,784.22
39501,780.94
40513,776.09
41525,770.16
42534,766.56
43546,754.53
44558,764.69
45568,762.34
46579,765.31
47591,763.44
48601,757.97
49612,758.44
50624,720.47
51636,749.69
52645,750.31
53657,749.53
54669,747.97
55678,744.53
56690,737.5
57702,740.31
58712,737.81
59723,726.56
60735,740.16
61745,737.34
62756,733.28
63768,729.06
64778,724.22
65789,714.22
66801,715.47
67811,726.41
68823,721.25
69834,724.69
70846,721.25
71856,713.75
72867,701.25
73879,711.25
74889,712.97
75900,698.28
76912,717.34
77922,723.75
78934,712.97
79945,710.47
80955,698.75
81967,687.5
82978,668.59
83988,702.66
85000,707.19
86011,707.66
87021,700.63
88033,695.47
89044,669.69
90056,682.34
91066,682.34
92078,685.63
93089,683.44
94099,680.31
95111,686.88
96122,670.94
97132,686.88
98144,690.16
99155,680.16
100165,691.56
101177,688.13
102189,681.25
103200,662.5
104210,667.19
105222,662.19
106233,664.69
107245,681.25
108255,677.66
109266,670.63
110278,677.19
111288,669.84
112300,661.72
113311,669.53
114323,674.53
115333,668.91
116344,673.59
117356,671.72
118368,638.13
119377,651.88
120389,648.75
121401,641.41
122411,661.25
123422,665
124434,667.5
125446,662.03
126455,663.44
127467,669.38
128479,655.63
129490,649.69
130500,655.47
131512,656.56
132524,653.44
133533,647.66
134545,645.78
135557,640.63
136568,650.78
137578,654.38
138590,653.75
139601,648.75
140613,644.53
141623,635.78
142635,643.75
143646,642.5
144658,641.72
145668,648.59
146679,647.19
147691,645.16
148701,631.09
149712,635.31
150724,625.94
151736,636.88
152745,635
153757,643.44
154769,646.25
155781,639.38
156790,630.16
157802,620
158814,627.81
159823,631.25
160835,631.56
161847,631.25
162859,631.88
163868,621.72
164880,632.34
165892,635.78
166903,629.06
167913,624.84
168925,619.22
169936,613.91
170946,609.38
171958,622.19
