Time(ms),CO2(ppm)
67,1330.94
1083,1337.34
2095,1349.38
3106,1333.59
4116,1202.19
5128,1217.19
6139,1245.16
7149,1313.44
8161,1327.97
9172,1328.59
10182,1193.91
11194,1233.91
12206,1236.88
13217,1312.34
14227,1317.03
15239,1327.97
16250,1235.16
17260,1189.53
18272,1211.09
19283,1311.09
20295,1310.78
21305,1312.03
22317,1294.84
23328,1204.06
24338,1215.78
25350,1264.53
26361,1294.38
27373,1293.28
28383,1297.5
29394,1170.16
30406,1180.63
31418,1219.84
32428,1293.75
33439,1302.66
34451,1309.38
35463,1213.13
36472,1157.5
37484,1193.91
38496,1285.78
39505,1287.66
40517,1271.72
41529,1252.19
42541,1192.81
43550,1179.06
44562,1211.72
45574,1276.25
46585,1280.94
47595,1276.41
48607,1204.22
49618,1164.06
50628,1176.72
51640,1248.91
52652,1280.94
53663,1295.47
54673,1275.94
55685,1183.59
56696,1167.19
57708,1155
58718,1250.47
59729,1262.97
60741,1264.38
61751,1193.59
62763,1159.38
63774,1140.31
64786,1197.34
65796,1247.34
66807,1248.44
67819,1251.72
68831,1167.03
69840,1129.53
70852,1172.19
71864,1247.19
72876,1249.06
73885,1252.5
74897,1206.25
75909,1153.59
76918,1147.03
77930,1174.69
78942,1213.75
79953,1232.5
80963,1235.47
81975,1165.47
82987,1175.47
83998,1130.16
85008,1187.81
86020,1225.16
87031,1227.81
88041,1219.38
89053,1130.16
90064,1111.72
91076,1141.56
92086,1184.22
93097,1221.72
94109,1222.81
95121,1217.81
96131,1130.31
97142,1145
98154,1128.75
99166,1168.44
100175,1194.84
101187,1220.31
102199,1207.19
103211,1136.41
104220,1112.97
105232,1080.16
106244,1125.94
107255,1194.69
108265,1181.25
109277,1200.63
110288,1157.81
111300,1063.91
112312,1088.44
113321,1121.72
114333,1168.91
115345,1181.41
116357,1190.78
117366,1195.94
118378,1102.34
119390,1107.03
120401,1076.25
121413,1107.03
122423,1172.03
123435,1185
124446,1171.09
125458,1178.91
126468,1100.94
127479,1059.53
128491,1071.25
129503,1117.34
130512,1179.53
131524,1178.91
132536,1175.47
133548,1173.91
134559,1078.44
135569,1058.13
136581,1049.53
137592,1123.44
138604,1168.28
139614,1184.06
140625,1177.03
141637,1119.53
142649,1092.66
143661,1067.5
144670,1062.5
145682,1155.47
146694,1163.91
147705,1164.69
148715,1164.06
149727,1094.84
150738,1064.22
151750,1068.13
152762,1151.72
153772,1152.03
154783,1144.06
155795,1159.22
156807,1052.97
157816,1048.28
158828,1078.59
159840,1153.59
160851,1145.47
161863,1151.88
162873,1126.09
163885,1029.53
164896,1047.5
165908,1104.22
166918,1143.59
167929,1145.94
168941,1150.78
169953,1070.31
170964,996.41
171974,1023.28
172986,1114.06
173998,1129.69
175009,1141.25
176019,1137.34
177031,1038.44
178042,1046.72
179054,1069.69
180064,1142.97
181075,1134.53
182087,1147.97
183099,1115.16
184111,1050.16
185120,1065.47
186132,1009.53
187144,1127.97
188155,1141.09
189165,1144.53
190177,1139.38
191188,1058.28
192200,1066.41
193212,1043.44
194222,1068.44
195233,1133.91
196245,1139.53
197257,1140.47
198266,1146.88
199278,1071.56
200290,1034.53
201302,1053.13
202313,1014.84
203323,1109.22
204335,1117.03
205346,1140
206358,1137.03
207368,1112.03
208379,1046.88
209391,1020
210403,1030.47
211415,1067.97
212424,1122.19
213436,1130.16
214448,1135.78
215459,1140.47
216469,1044.84
217481,1055
218492,1038.75
219504,1024.84
220514,1119.06
221526,1125
222537,1119.69
223549,1133.13
224561,1050.78
225570,1005.16
226582,1045.94
227594,1007.03
228605,1103.28
229615,1112.19
230627,1122.03
231639,1116.56
232650,1053.13
233662,1041.25
234672,1070.31
235683,1009.84
236695,1092.19
237707,1108.13
238716,1116.88
239728,1120
240740,1092.81
241752,1015.16
242763,1014.38
243773,1043.13
244785,1052.97
245796,1117.81
246808,1125
247818,1117.19
248829,1111.56
249841,1021.72
250853,1010.78
251865,972.97
252874,1029.69
253886,1118.59
254898,1117.97
255909,1116.41
256919,1118.91
257931,1083.44
258942,1020
259954,1025.47
260966,1039.38
261976,1038.13
262987,1114.06
263999,1120.94
265011,1124.69
266020,1106.09
267032,1062.81
268044,1010.16
269056,963.59
270065,997.19
271077,990.78
272089,1106.41
273100,1114.06
274110,1115
275122,1115.63
276133,1087.34
277145,998.59
278155,1021.88
279166,1019.06
280178,975.31
281190,1060.94
282202,1068.59
283211,1106.56
284223,1108.75
285235,1081.41
286246,1018.91
287256,986.88
288268,1020.78
289280,1007.03
290291,1075.94
291301,1103.59
292313,1106.25
293324,1104.53
294336,1104.53
295348,1013.59
296357,1001.25
297369,1008.75
298381,977.34
299393,1040.63
300402,1095.78
301414,1108.59
302426,1115.63
303437,1110.47
304449,1073.13
305459,1025.78
306470,1007.34
307482,945.78
308494,965.31
309504,1072.66
310515,1083.44
311527,1094.06
312539,1095.78
313548,1080.16
314560,990.16
315572,1020
316583,998.44
317593,1000.94
318605,1094.69
319617,1088.13
320628,1092.66
321638,1090.94
322650,1059.06
323661,1005.47
324673,977.19
325685,1018.59
326694,1012.5
327706,1083.91
328718,1086.09
329730,1097.03
330739,1088.75
331751,1060.31
332763,992.5
333774,981.72
334784,989.38
335796,1016.56
336807,1075.63
337819,1082.66
338829,1097.97
339841,1099.69
340852,1001.72
341864,995.78
342874,973.91
343885,961.41
344897,1044.69
345909,1062.81
346918,1084.53
347930,1081.41
348942,1047.5
349954,987.34
350965,1021.72
351975,1002.19
352987,1047.66
353998,1074.22
355010,1074.69
356020,1070.31
357031,1070
358043,1011.25
359055,977.81
360065,990
361076,1024.06
362088,1076.25
363100,1074.69
364109,1078.44
365121,1065.63
366133,998.91
367144,985.94
368154,1012.97
369166,1004.84
370178,1073.13
371189,1075.63
372201,1073.28
373211,1076.72
374222,1014.84
375234,976.88
376246,944.84
377255,1026.56
378267,1081.88
379279,1077.34
380291,1076.41
381300,1072.34
382312,982.34
383324,982.34
384335,989.84
385345,974.38
386357,1076.41
387368,1086.72
388380,1081.88
389390,1081.41
390402,1001.41
391413,943.59
392425,990.63
393437,1008.59
394446,1060.16
395458,1074.69
396470,1064.53
397481,1073.13
398491,1051.88
399503,977.34
400515,988.59
401526,964.06
402536,992.03
403548,1068.13
404559,1070.16
405571,1081.88
406581,1086.41
407592,989.69
408604,958.44
409616,962.97
410626,981.25
411637,1061.41
412649,1054.22
